id,room_id/id,noted_date,temp,out/in
__export__.temp_log_88073_3d3bda20,Room Admin,04-11-2018 06:48,32,In
__export__.temp_log_124003_0cdb54b2,Room Admin,04-11-2018 06:45,47,Out
__export__.temp_log_148068_5828f8c1,Room Admin,04-11-2018 06:40,32,In
__export__.temp_log_103767_ddcbf981,Room Admin,04-11-2018 06:39,46,Out
__export__.temp_log_126110_4912088e,Room Admin,04-11-2018 06:38,32,In
__export__.temp_log_91074_830f8194,Room Admin,04-11-2018 06:37,47,Out
__export__.temp_log_149343_ad72cf53,Room Admin,04-11-2018 06:36,32,In
__export__.temp_log_130096_e7d1f9be,Room Admin,04-11-2018 06:32,32,In
__export__.temp_log_90468_40be633e,Room Admin,04-11-2018 06:31,46,Out
__export__.temp_log_111794_47d1cd38,Room Admin,04-11-2018 06:28,32,In
__export__.temp_log_137137_9c7ee827,Room Admin,04-11-2018 06:26,31,In
__export__.temp_log_100685_ce363f4c,Room Admin,04-11-2018 06:25,47,Out
__export__.temp_log_130155_3a7a4a80,Room Admin,04-11-2018 06:24,32,In
__export__.temp_log_122588_e7550c1e,Room Admin,04-11-2018 06:22,32,In
__export__.temp_log_106552_94681423,Room Admin,04-11-2018 06:18,32,In
__export__.temp_log_138187_f99dafa8,Room Admin,04-11-2018 06:14,31,In
__export__.temp_log_136274_8fe7ecf9,Room Admin,04-11-2018 06:12,32,In
__export__.temp_log_122882_f8582b76,Room Admin,04-11-2018 06:10,31,In
__export__.temp_log_129918_7cbd76ee,Room Admin,04-11-2018 06:06,32,In
__export__.temp_log_134991_ff9c1539,Room Admin,04-11-2018 06:04,31,In
__export__.temp_log_148145_8b72cfb7,Room Admin,04-11-2018 06:02,32,In
__export__.temp_log_90131_c2d4d1b2,Room Admin,04-11-2018 06:00,31,In
__export__.temp_log_94476_4fb1f6c4,Room Admin,04-11-2018 05:58,32,In
__export__.temp_log_91753_3d2ed02f,Room Admin,04-11-2018 05:56,32,In
__export__.temp_log_122155_1c2c7e61,Room Admin,04-11-2018 05:54,32,In
__export__.temp_log_99328_e49edcb0,Room Admin,04-11-2018 05:53,46,Out
__export__.temp_log_145460_007e3d44,Room Admin,04-11-2018 05:52,31,In
__export__.temp_log_99348_be385ced,Room Admin,04-11-2018 05:50,32,In
__export__.temp_log_151629_5fa102de,Room Admin,04-11-2018 05:48,31,In
__export__.temp_log_108422_c3a9b733,Room Admin,04-11-2018 05:47,46,Out
__export__.temp_log_110132_8d2e18ee,Room Admin,04-11-2018 05:46,31,In
__export__.temp_log_126132_b78a4b10,Room Admin,04-11-2018 05:44,31,In
__export__.temp_log_96443_9c500f06,Room Admin,04-11-2018 05:42,32,In
__export__.temp_log_153895_6ae625ac,Room Admin,04-11-2018 05:36,31,In
__export__.temp_log_122467_7df6d756,Room Admin,04-11-2018 05:34,31,In
__export__.temp_log_97567_95b31c1a,Room Admin,04-11-2018 05:32,31,In
__export__.temp_log_150188_e1ebc10d,Room Admin,04-11-2018 05:30,31,In
__export__.temp_log_120464_64d7b512,Room Admin,04-11-2018 05:24,31,In
__export__.temp_log_88019_c89a2ce6,Room Admin,04-11-2018 05:21,46,Out
__export__.temp_log_126085_1c73bd3c,Room Admin,04-11-2018 05:20,31,In
__export__.temp_log_112666_4076cebc,Room Admin,04-11-2018 05:18,32,In
__export__.temp_log_138444_6535595b,Room Admin,04-11-2018 05:14,31,In
__export__.temp_log_90796_0e1b2412,Room Admin,04-11-2018 05:13,45,Out
__export__.temp_log_121628_4e56e7cf,Room Admin,04-11-2018 05:10,31,In
__export__.temp_log_91433_54c2e1d6,Room Admin,04-11-2018 05:09,45,Out
__export__.temp_log_150484_a2129e04,Room Admin,04-11-2018 05:06,31,In
__export__.temp_log_91412_959fba23,Room Admin,04-11-2018 05:04,31,In
__export__.temp_log_109798_32458e50,Room Admin,04-11-2018 05:03,45,Out
__export__.temp_log_152186_1e3a4032,Room Admin,04-11-2018 05:01,45,Out
__export__.temp_log_115134_bb316409,Room Admin,04-11-2018 05:00,31,In
__export__.temp_log_127304_f6ad8222,Room Admin,04-11-2018 04:59,45,Out
__export__.temp_log_96000_c1d51ade,Room Admin,04-11-2018 04:58,31,In
__export__.temp_log_132395_098857be,Room Admin,04-11-2018 04:49,45,Out
__export__.temp_log_130732_4604387f,Room Admin,04-11-2018 04:47,45,Out
__export__.temp_log_115061_1de4a556,Room Admin,04-11-2018 04:46,31,In
__export__.temp_log_95911_e82920ed,Room Admin,04-11-2018 04:44,31,In
__export__.temp_log_86506_4b4bfc4c,Room Admin,04-11-2018 04:41,44,Out
__export__.temp_log_98301_e29c5fac,Room Admin,04-11-2018 04:37,44,Out
__export__.temp_log_102261_83e909f1,Room Admin,04-11-2018 04:35,44,Out
__export__.temp_log_93455_ab9c741d,Room Admin,04-11-2018 04:25,44,Out
__export__.temp_log_149447_90e0ed2f,Room Admin,04-11-2018 04:23,44,Out
__export__.temp_log_140919_ea1b7621,Room Admin,04-11-2018 04:20,31,In
__export__.temp_log_144538_71699154,Room Admin,04-11-2018 04:19,44,Out
__export__.temp_log_113152_6bf93ec5,Room Admin,04-11-2018 04:18,31,In
__export__.temp_log_117890_5bb2ca25,Room Admin,04-11-2018 04:15,44,Out
__export__.temp_log_118878_e4d2d8f0,Room Admin,04-11-2018 04:14,31,In
__export__.temp_log_105880_68a29cfe,Room Admin,04-11-2018 04:13,44,Out
__export__.temp_log_97138_eda8c588,Room Admin,04-11-2018 04:12,31,In
__export__.temp_log_128507_4850d486,Room Admin,04-11-2018 04:11,43,Out
__export__.temp_log_96654_93cbef7d,Room Admin,04-11-2018 04:10,31,In
__export__.temp_log_86351_d4c0a3ae,Room Admin,04-11-2018 04:06,31,In
__export__.temp_log_127651_92aad6a3,Room Admin,04-11-2018 04:05,44,Out
__export__.temp_log_137455_74e6c2ba,Room Admin,04-11-2018 04:03,43,Out
__export__.temp_log_156725_04074933,Room Admin,04-11-2018 04:01,43,Out
__export__.temp_log_96884_b84f4d10,Room Admin,04-11-2018 03:59,43,Out
__export__.temp_log_115822_2ae2b9e0,Room Admin,04-11-2018 03:57,43,Out
__export__.temp_log_137633_5d2f9b70,Room Admin,04-11-2018 03:56,31,In
__export__.temp_log_91077_62f68068,Room Admin,04-11-2018 03:55,43,Out
__export__.temp_log_100127_b2d9a86d,Room Admin,04-11-2018 03:54,31,In
__export__.temp_log_101422_7c4e4d82,Room Admin,04-11-2018 03:52,31,In
__export__.temp_log_108750_10f89bff,Room Admin,04-11-2018 03:51,42,Out
